Kode;Kategori;Deskripsi;Satuan;Harga Beli;Diskon Beli;Total Beli;Harga Jual;Diskon Jual;Total Jual;;
RJ1770;AJI;Engsel 3x2,5 Onat Sn;LUSIN;100.000;0 %;100.000;110.000;0 %;110.000;;
RJ1769;AJI;Engsel 4x3 Dior ;LUSIN;70.000;0 %;70.000;70.000;0 %;70.000;;
RJ1771;AJI;Engsel 4x3 Hinges ;LUSIN;70.000;0 %;70.000;75.000;0 %;75.000;;
RJ1773;AJI;Engsel 4x3 Jazz;LUSIN;170.000;0 %;170.000;175.000;0 %;175.000;;
RJ1483;AJI;"Engsel Brass Hsh 3"" Putih";PCS;6.700;0 %;6.700;10.000;0 %;10.000;;
RJ1284;AJI;"Engsel Tipis Ss Holly 2""";1pcs;25.000;0 %;25.000;2.500;0 %;2.500;;
RJ1285;AJI;"Engsel Tipis Ss Holly 2,5""";1pcs;27.500;0 %;27.500;3.000;0 %;3.000;;
RJ1197;AJI;"Fizer 6"" Hpp/modal 38 + Paku 160";Pak;5.000;0 %;5.000;10.000;0 %;10.000;;
RJ1198;AJI;"Fizer 8""/modal 51";Pak;10.000;0 %;10.000;12.000;0 %;12.000;;
RJ1797;AJI;GEMBOK 50 PANJANG;1pcs;15.000;0 %;15.000;20.000;0 %;20.000;;
RJ1796;AJI;GEMBOK 50 PENDEK;1pcs;15.000;0 %;15.000;17.500;0 %;17.500;;
RJ1761;AJI;"Gembok Majesty Panjang 30""";PCS;9.000;0 %;9.000;10.000;0 %;10.000;;
RJ1763;AJI;"Gembok Majesty Panjang 40""";PCS;11.400;0 %;11.400;15.000;0 %;15.000;;
RJ1760;AJI;"Gembok Majesty Pendek 30""";PCS;8.500;0 %;8.500;10.000;0 %;10.000;;
RJ1762;AJI;"Gembok Majesty Pendek 40""";PCS;11.000;0 %;11.000;15.000;0 %;15.000;;
RJ1168;AJI;Gergaji Gorok Uk14 Gg Karet;PCS;27.500;0 %;27.500;30.000;0 %;30.000;;
RJ1169;AJI;Gergaji Gorok Uk16 Gg Karet;PCS;30.000;0 %;30.000;35.000;0 %;35.000;;
RJ1170;AJI;Gergaji Kayu;PCS;25.000;0 %;25.000;30.000;0 %;30.000;;
RJ1210;AJI;"Graji Gorok 18""{SELIPER}";PCS;85.000;0 %;85.000;90.000;0 %;90.000;;
RJ1211;AJI;"Graji Gorok 20""(seliper)";PCS;85.000;0 %;85.000;90.000;0 %;90.000;;
RJ1774;AJI;"Grendel Babet 2"" Bonuchi";LUSIN;55.000;0 %;55.000;60.000;0 %;60.000;;
RJ1775;AJI;"Grendel Babet 3"" Hsj";LUSIN;80.000;0 %;80.000;85.000;0 %;85.000;;
RJ1176;AJI;Grendel Ovaval 2 Boxor;PCS;10.000;0 %;10.000;12.500;0 %;12.500;;
RJ 1294;Aji;"Grendel Overval Hijau Kunci Gembok 3""";Pcs;37.500;0 %;37.500;4.000;0 %;4.000;;
RJ1776;AJI;"Grendel Stainles 2"" Cab";LUSIN;40.000;0 %;40.000;45.000;0 %;45.000;;
RJ1513;AJI;"Grendel Stainles Bc East HD -6""";LUSIN;60.000;0 %;60.000;7.500;0 %;7.500;;
RJ1515;AJI;"Grendel Stainles BC East HD-12""";LUSIN;135.000;0 %;135.000;12.500;0 %;12.500;;
RJ1514;AJI;"Grendel Stainless BC East HD -10""";LUSIN;110.000;0 %;110.000;10.000;0 %;10.000;;
RJ1171;AJI;Gunting Seng USA;PCS;62.500;0 %;62.500;65.000;0 %;65.000;;
RJ1174;AJI;Gunting Serba Guna Fureno;PCS;22.500;0 %;22.500;25.000;0 %;25.000;;
RJ1175;AJI;Gunting Serba Guna Kofuku;PCS;25.000;0 %;25.000;27.500;0 %;27.500;;
RJ1233;AJI;"Hak Angin Bulat Eifell 8""SN";1pcs;72.500;0 %;72.500;8.500;0 %;8.500;;
RJ1234;AJI;"Hak Angin Segi Empat Eifell 8"" SN";1pcs;75.000;0 %;75.000;10.000;0 %;10.000;;
RJ1756;AJI;IGM Mata Bor Beton 6mm;1pcs;7.500;0 %;7.500;10.000;0 %;10.000;;
