Kode;Kategori;Deskripsi;Satuan;Harga Beli;Diskon Beli;Total Beli;Harga Jual;Diskon Jual;Total Jual;;
RJ1250;AJI;Tekiro Mata Bor Besi 10mm;1pcs;119.160;2000 %;119.160;100.000;0 %;100.000;;
RJ1253;AJI;Tekiro Mata Bor Besi 11,0mm;1pcs;146.800;2000 %;146.800;125.000;0 %;125.000;;
RJ1251;AJI;Tekiro Mata Bor Besi 11,5mm;1pcs;170.420;2000 %;170.420;150.000;0 %;150.000;;
RJ1497;AJI;Tekiro Mata Bor Besi 4,5mm;1pcs;29.640;2000 %;29.640;25.000;0 %;25.000;;
RJ1496;AJI;Tekiro Mata Bor Besi 4.0mm;1pcs;24.320;2000 %;24.320;20.000;0 %;20.000;;
RJ1498;AJI;Tekiro Mata Bor Besi 5,0mm;1pcs;34.780;2000 %;34.780;30.000;0 %;30.000;;
RJ1243;AJI;Tekiro Mata Bor Besi 5,5mm;1pcs;39.620;2000 %;39.620;32.500;0 %;32.500;;
RJ1499;AJI;Tekiro Mata Bor Besi 6,0 Mm;1pcs;45.520;2000 %;45.520;40.000;0 %;40.000;;
RJ1244;AJI;Tekiro Mata Bor Besi 6,5mm;1pcs;51.960;2000 %;51.960;45.000;0 %;45.000;;
RJ1245;AJI;Tekiro Mata Bor Besi 7,0mm;1pcs;57.660;2000 %;57.660;50.000;0 %;50.000;;
RJ1246;AJI;Tekiro Mata Bor Besi 7,5mm;1pcs;67.020;2000 %;67.020;60.000;0 %;60.000;;
RJ1247;AJI;Tekiro Mata Bor Besi 8,5mm;1pcs;85.720;2000 %;85.720;70.000;0 %;70.000;;
RJ1500;AJI;Tekiro Mata Bor Besi 8.0 Mm;1pcs;71.820;2000 %;71.820;60.000;0 %;60.000;;
RJ1248;AJI;Tekiro Mata Bor Besi 9,0mm;1pcs;93.000;2000 %;93.000;75.000;0 %;75.000;;
RJ1249;AJI;Tekiro Mata Bor Besi 9,5mm;1pcs;111.220;2000 %;111.220;95.000;0 %;95.000;;
RJ1195;AJI;Tekiro Mata Bor Beton 10mm;PCS;17.500;0 %;17.500;20.000;0 %;20.000;;
RJ1196;AJI;Tekiro Mata Bor Beton 12mm;PCS;22.500;0 %;22.500;25.000;0 %;25.000;;
RJ1241;AJI;Tekiro Mata Bor Beton 16mm;1pcs;40.000;0 %;40.000;45.000;0 %;45.000;;
RJ1237;AJI;Tekiro Mata Bor Beton 4mm;1pcs;7.500;0 %;7.500;10.000;0 %;10.000;;
RJ1238;AJI;Tekiro Mata Bor Beton 5mm;1pcs;7.500;0 %;7.500;10.000;0 %;10.000;;
RJ1239;AJI;Tekiro Mata Bor Beton 6mm;1pcs;8.500;0 %;8.500;10.000;0 %;10.000;;
RJ1240;AJI;Tekiro Mata Bor Beton 7mm;1pcs;9.000;0 %;9.000;12.000;0 %;12.000;;
RJ1194;AJI;Tekiro Mata Bor Beton 8.0mm;PCS;17.500;0 %;17.500;20.000;0 %;20.000;;
RJ1407;AJI;Tekiro Mata Gergaji Besi 18 T;PCS;10.000;0 %;10.000;15.000;0 %;15.000;;
RJ1242;AJI;Tekiro natchi Mata Bor Besi 4,5mm;1pcs;29.640;2000 %;29.640;25.000;0 %;25.000;;
RJ1482;AJI;Tekiro OBENG Gagang Karet Hijau (+) 12x300;1pcs;37.500;0 %;37.500;40.000;0 %;40.000;;
RJ1410;AJI;"Tekiro Obeng Gagang Karet Hijau(+)6""";1pcs;30.000;0 %;30.000;32.500;0 %;32.500;;
RJ1411;AJI;"Tekiro Obeng Gagang Karet Kuning(-)6""";1pcs;30.000;0 %;30.000;32.500;0 %;32.500;;
RJ1193;AJI;Tekiro Obeng Kristal (-)5.0x200mm;PCS;40.000;3500 %;40.000;30.000;0 %;30.000;;
RJ1502;AJI;Tekiro Obeng Kristal (+)4.0X150 MM;1pcs;39.500;4000 %;39.500;25.000;0 %;25.000;;
RJ1503;AJI;Tekiro Obeng Kristal(-)4.0x150 Mm;1pcs;39.500;4000 %;39.500;25.000;0 %;25.000;;
RJ1192;AJI;Tekiro Obeng Kristal(+)5.0X300;PCS;48.500;3500 %;48.500;35.000;0 %;35.000;;
RJ1506;AJI;Tekiro Presure Gauge/meteran Kompresor 10 Bar;1pcs;71.000;4000 %;71.000;50.000;0 %;50.000;;
RJ1189;AJI;Tekiro T Hitam 10mm;PCS;33.000;3500 %;33.000;25.000;0 %;25.000;;
RJ1480;AJI;Tekiro T HITAM 12mm;1pcs;20.000;0 %;20.000;20.000;0 %;20.000;;
RJ1190;AJI;Tekiro T Hitam 13mm;PCS;33.000;3500 %;33.000;25.000;0 %;25.000;;
RJ1191;AJI;Tekiro T Hitam 14mm;PCS;33.000;3500 %;33.000;25.000;0 %;25.000;;
RJ1257;AJI;Tekiro Tang Kombinasi NR-7PL-LM0758;1pcs;50.000;0 %;50.000;55.000;0 %;55.000;;
RJ1258;AJI;"Tekiro Tang Kombinasi NR8""PL-LM0759";1pcs;91.500;3000 %;91.500;70.000;0 %;70.000;;
RJ1726;AJI;"Tekiro Tang Potong 6"" ";PCS;45.000;0 %;45.000;50.000;0 %;50.000;;
RJ1259;AJI;Tekiro Tang Snap Ring ES 5;1pcs;64.500;3500 %;64.500;50.000;0 %;50.000;;
RJ1501;AJI;Tekiro Tespen Listrik Domax;1pcs;12.000;0 %;12.000;15.000;0 %;15.000;;
RJ1188;AJI;Tekiro-T Hitam 8mm;PCS;33.000;3500 %;33.000;25.000;0 %;25.000;;
RJ1297;Aji ;Slot Besar + Body Merk Hongsu Bulat Sn/cp;Pcs;117.500;0 %;117.500;125.000;0 %;125.000;;
RJ1549;Baud;Baud 6x15 Kuning/ 195;1pcs;1.000;0 %;1.000;1.000;0 %;1.000;;
RJ1548;Baud;Baud 6x25 Kuning /235;1pcs;1.000;0 %;1.000;1.000;0 %;1.000;;
RJ1547;Baud;Baud 6x30 Kuning/255;1pcs;1.000;0 %;1.000;1.000;0 %;1.000;;
RJ1546;Baud;Baud 6x40 Kuning/295;1pcs;1.000;0 %;1.000;1.000;0 %;1.000;;
RJ1545;Baud;Baud 6x50 Puth/335;1pcs;1.000;0 %;1.000;1.000;0 %;1.000;;
RJ1544;Baud;Baud 8x30 Kuning /445;1pcs;1.500;0 %;1.500;1.500;0 %;1.500;;
RJ1552;Baud;Baud Fizer 6x11/2 /15000/100bj;1pcs;1.000;0 %;1.000;1.000;0 %;1.000;;
RJ1551;Baud;Baud Fizer 6x11/4/12500/100bj;1pcs;1.000;0 %;1.000;1.000;0 %;1.000;;
RJ1550;Baud;Baud Fizer 8x11/4/16000/100bj;1pcs;1.000;0 %;1.000;1.000;0 %;1.000;;
RJ2052;Baud;Baud Roofingn RUSH 12x60;Box;120.000;0 %;120.000;125.000;0 %;125.000;;
RJ1654;Baud;Klem Knalpot 11/2;PCS;12.000;0 %;12.000;15.000;0 %;15.000;;
RJ1655;Baud;"Klem Knalpot 2""";PCS;13.000;0 %;13.000;15.000;0 %;15.000;;
RJ1656;Baud;"Klem Knalpot 2""1/2";PCS;16.000;0 %;16.000;17.500;0 %;17.500;;
RJ1657;Baud;"Klem Knalpot 3""";PCS;20.000;0 %;20.000;22.500;0 %;22.500;;
RJ1839;BEARING;AS GEROBAG;1pcs;12.000;0 %;12.000;15.000;0 %;15.000;;
RJ101;BEARING;LAXER 6201 Keling;PCS;5.000;0 %;5.000;6.000;0 %;6.000;;
RJ1528;BEARING;laxer 6201 NACHI;PCS;14.000;0 %;14.000;17.500;0 %;17.500;;
RJ1529;BEARING;laxer 6202 NACHI;Pcs;15.000;0 %;15.000;20.000;0 %;20.000;;
RJ94;BEARING;LAXER 6300;PCS;9.000;0 %;9.000;10.000;0 %;10.000;;
RJ93;BEARING;LAXER 6312;PCS;150.000;0 %;150.000;175.000;0 %;175.000;;
RJ1492;BEARING;Laxer Arko ISCO;PCS;5.500;0 %;5.500;7.500;0 %;7.500;;
RJ98;BEARING;LAXER NKN 6000;PCS;6.750;0 %;6.750;8.000;0 %;8.000;;
RJ99;BEARING;LAXER NKN 6001;PCS;6.750;0 %;6.750;8.000;0 %;8.000;;
RJ100;BEARING;LAXER NKN 6002;PCS;8.500;0 %;8.500;9.000;0 %;9.000;;
RJ102;BEARING;LAXER NKN 6003;PCS;9.000;0 %;9.000;10.000;0 %;10.000;;
RJ103;BEARING;LAXER NKN 6004;PCS;12.500;0 %;12.500;15.000;0 %;15.000;;
RJ104;BEARING;LAXER NKN 6005;PCS;15.000;0 %;15.000;15.000;0 %;15.000;;
RJ105;BEARING;LAXER NKN 6006;PCS;16.000;0 %;16.000;17.500;0 %;17.500;;
RJ106;BEARING;LAXER NKN 6007;PCS;19.500;0 %;19.500;22.500;0 %;22.500;;
RJ107;BEARING;LAXER NKN 6008;PCS;25.000;0 %;25.000;30.000;0 %;30.000;;
RJ108;BEARING;LAXER NKN 606;PCS;6.750;0 %;6.750;7.500;0 %;7.500;;
RJ109;BEARING;LAXER NKN 607;PCS;6.750;0 %;6.750;7.500;0 %;7.500;;
RJ110;BEARING;LAXER NKN 608;PCS;6.750;0 %;6.750;7.500;0 %;7.500;;
RJ111;BEARING;LAXER NKN 609;PCS;7.000;0 %;7.000;7.500;0 %;7.500;;
RJ74;BEARING;LAXER NKN 6200;PCS;8.000;0 %;8.000;9.000;0 %;9.000;;
RJ72;BEARING;LAXER NKN 6201;PCS;7.750;0 %;7.750;9.000;0 %;9.000;;
RJ75;BEARING;LAXER NKN 6202;PCS;8.500;0 %;8.500;9.500;0 %;9.500;;
RJ76;BEARING;LAXER NKN 6203;PCS;11.000;0 %;11.000;13.000;0 %;13.000;;
RJ77;BEARING;LAXER NKN 6204;PCS;15.000;0 %;15.000;17.500;0 %;17.500;;
RJ78;BEARING;LAXER NKN 6205;PCS;18.000;0 %;18.000;20.000;0 %;20.000;;
RJ79;BEARING;LAXER NKN 6206;PCS;23.500;0 %;23.500;25.000;0 %;25.000;;
RJ80;BEARING;LAXER NKN 6207;PCS;35.000;0 %;35.000;40.000;0 %;40.000;;
RJ81;BEARING;LAXER NKN 6208;PCS;50.000;0 %;50.000;55.000;0 %;55.000;;
RJ95;BEARING;LAXER NKN 626;PCS;67.500;0 %;67.500;7.500;0 %;7.500;;
RJ96;BEARING;LAXER NKN 627;PCS;6.750;0 %;6.750;7.500;0 %;7.500;;
RJ97;BEARING;LAXER NKN 628;PCS;7.000;0 %;7.000;7.500;0 %;7.500;;
RJ73;BEARING;LAXER NKN 629;PCS;7.500;0 %;7.500;8.500;0 %;8.500;;
RJ82;BEARING;LAXER NKN 6301;PCS;10.000;0 %;10.000;12.000;0 %;12.000;;
RJ83;BEARING;LAXER NKN 6302;PCS;14.000;0 %;14.000;15.000;0 %;15.000;;
RJ84;BEARING;LAXER NKN 6303;PCS;17.500;0 %;17.500;20.000;0 %;20.000;;
RJ85;BEARING;LAXER NKN 6304;PCS;20.000;0 %;20.000;22.500;0 %;22.500;;
RJ86;BEARING;LAXER NKN 6305;PCS;27.500;0 %;27.500;30.000;0 %;30.000;;
RJ87;BEARING;LAXER NKN 6306;PCS;40.000;0 %;40.000;50.000;0 %;50.000;;
RJ88;BEARING;LAXER NKN 6307;PCS;50.000;0 %;50.000;60.000;0 %;60.000;;
RJ89;BEARING;LAXER NKN 6308;PCS;65.000;0 %;65.000;75.000;0 %;75.000;;
RJ90;BEARING;LAXER NKN 6309;PCS;80.000;0 %;80.000;90.000;0 %;90.000;;
RJ91;BEARING;LAXER NKN 6310;PCS;95.000;0 %;95.000;110.000;0 %;110.000;;
RJ92;BEARING;LAXER NKN 6311;PCS;125.000;0 %;125.000;150.000;0 %;150.000;;
RJ764;Betel;Betel Topi Segi 6/ 8;PCS;10.000;0 %;10.000;12.000;0 %;12.000;;
RJ766;Betel;Betel Topi Segi6 / 12;PCS;13.500;0 %;13.500;15.000;0 %;15.000;;
RJ765;Betel;Betel Topi Segi6 /10;PCS;12.000;0 %;12.000;15.000;0 %;15.000;;
RJ329;Casing Cover;Casing Cover Nat 200 Pvc Hitam;Pcs;30.000;0 %;30.000;35.000;0 %;35.000;;
RJ328;Casing Cover;Casing Cover Nat Gp 125 PVC Hitam;Pcs;27.500;0 %;27.500;35.000;0 %;35.000;;
RJ1096;Casing Cover;Casing Cover Smz 226 Kuningan;PCS;55.000;0 %;55.000;65.000;0 %;65.000;;
RJ327;Casing Cover;Casing Cover Smz Lob 3 PVC;Pcs;25.000;0 %;25.000;35.000;0 %;35.000;;
RJ326;Casing Cover;Casing Cover Smz Lob 4 PVC;Pcs;27.500;0 %;27.500;35.000;0 %;35.000;;
RJ658;Casing Cover;Casing Covernational 125 Kuningan;PCS;35.000;0 %;35.000;50.000;0 %;50.000;;
RJ1430;Cat Avian/avitex;2KL Avitex Gold Emulsion 601;PCS;167.500;0 %;167.500;170.000;0 %;170.000;;
RJ1431;Cat Avian/avitex;2kl Avitex Gold Emulsion 620;PCS;167.500;0 %;167.500;170.000;0 %;170.000;;
RJ1432;Cat Avian/avitex;2kl Avitex Gold Emulsion 720;PCS;167.500;0 %;167.500;170.000;0 %;170.000;;
RJ1433;Cat Avian/avitex;2kl Avitex Gold Emulsion 917;PCS;167.500;0 %;167.500;170.000;0 %;170.000;;
RJ1434;Cat Avian/avitex;2kl Avitex Gold Emulsion 918;PCS;167.500;0 %;167.500;170.000;0 %;170.000;;
RJ1424;Cat Avian/avitex;4kl Avian Shinthetic 196;PCS;75.000;0 %;75.000;75.000;0 %;75.000;;
RJ1425;Cat Avian/avitex;4kl Avian Shinthetic 330;PCS;75.000;0 %;75.000;75.000;0 %;75.000;;
RJ1426;Cat Avian/avitex;4kl Avian Shinthetic 333;PCS;75.000;0 %;75.000;75.000;0 %;75.000;;
RJ1427;Cat Avian/avitex;4kl Avian Shinthetic 631(0.9 L);PCS;75.000;0 %;75.000;75.000;0 %;75.000;;
RJ1428;Cat Avian/avitex;4kl Avian Shinthetic 750(0.9 L);PCS;75.000;0 %;75.000;75.000;0 %;75.000;;
RJ1429;Cat Avian/avitex;4kl Avian Shinthetic 752(0.9 L);PCS;75.000;0 %;75.000;75.000;0 %;75.000;;
RJ1422;Cat Avian/avitex;4kl Avian Symthetic 189;PCS;75.000;0 %;75.000;75.000;0 %;75.000;;
RJ1418;Cat Avian/avitex;4kl Avian Synteti 753;PCS;75.000;0 %;75.000;75.000;0 %;75.000;;
RJ1423;Cat Avian/avitex;4kl Avian Synthetic 197;PCS;75.000;0 %;75.000;75.000;0 %;75.000;;
RJ1419;Cat Avian/avitex;4kl Avian Synthetic 754;PCS;75.000;0 %;75.000;75.000;0 %;75.000;;
RJ1420;Cat Avian/avitex;4kl Avian Synthetic 755;PCS;75.000;0 %;75.000;75.000;0 %;75.000;;
RJ1421;Cat Avian/avitex;4kl Avian Synthetic 911;PCS;75.000;0 %;75.000;75.000;0 %;75.000;;
RJ1886;Cat Avian/avitex;Aries Gold 1kg;1pcs;26.800;300 %;26.800;27.500;0 %;27.500;;
RJ1332;Cat Avian/avitex;Avian Synthetic 309 Cat Besi(0.9 L);PCS;75.000;0 %;75.000;75.000;0 %;75.000;;
RJ1333;Cat Avian/avitex;Avian Synthetic 331(0.9 L);PCS;75.000;0 %;75.000;75.000;0 %;75.000;;
RJ1334;Cat Avian/avitex;Avian Synthetic 466(0.9 L);PCS;75.000;0 %;75.000;75.000;0 %;75.000;;
RJ1335;Cat Avian/avitex;Avian Synthetic 660(0.9 L);PCS;75.000;0 %;75.000;75.000;0 %;75.000;;
RJ1336;Cat Avian/avitex;Avian Synthetic 662(0.9 L);PCS;75.000;0 %;75.000;75.000;0 %;75.000;;
RJ1338;Cat Avian/avitex;Avian Synthetic 824 Cat Besi(0.9 L);PCS;75.000;0 %;75.000;75.000;0 %;75.000;;
RJ1337;Cat Avian/avitex;Avian Synthetic 915(0.9 L);PCS;75.000;0 %;75.000;75.000;0 %;75.000;;
RJ1330;Cat Avian/avitex;Avitex 2kl Gold Emulsion 770 Cat  Tembok;PCS;167.500;0 %;167.500;170.000;0 %;170.000;;
RJ1331;Cat Avian/avitex;Avitex 2kl Gold Emulsion Sw Cat Tembok;PCS;167.500;0 %;167.500;170.000;0 %;170.000;;
RJ1889;Cat Avian/avitex;Bitumen Bllack No Drop;PCS;39.800;700 %;39.800;40.000;0 %;40.000;;
RJ1871;Cat Avian/avitex;Cat 18kg Aries GOLD Emulsion SW;PCS;296.500;200 %;296.500;325.000;0 %;325.000;;
RJ1416;Cat Avian/avitex;Cat 20kl  NO DROP 009/;PCS;1.100.000;0 %;1.100.000;1.100.000;0 %;1.100.000;;
RJ1417;Cat Avian/avitex;Cat 20kl NO DROP 024;PCS;1.100.000;0 %;1.100.000;1.100.000;0 %;1.100.000;;
RJ1658;Cat Avian/avitex;Cat Aries 4,5kg GOLD Emulsion 010;1pcs;80.600;500 %;80.600;77.500;0 %;77.500;;
RJ1488;Cat Avian/avitex;CAT Aries Bling Emulsion 709;PCS;65.000;0 %;65.000;67.500;0 %;67.500;;
RJ1489;Cat Avian/avitex;CAT Aries Bling Emulsion 720 4.5kl;PCS;65.000;0 %;65.000;67.500;0 %;67.500;;
RJ1490;Cat Avian/avitex;CAT Aries Bling Emulsion 722 4.5kl;PCS;65.000;0 %;65.000;67.500;0 %;67.500;;
RJ1664;Cat Avian/avitex;Cat Aries GOLD  Emulsion 304 4,5kl;1pcs;75.000;0 %;75.000;77.500;0 %;77.500;;
RJ1659;Cat Avian/avitex;Cat Aries GOLD Emulsion 102 4,5kl;1pcs;80.600;500 %;80.600;77.500;0 %;77.500;;
RJ1660;Cat Avian/avitex;Cat Aries GOLD Emulsion 104 4,5kl;1pcs;75.000;0 %;75.000;77.500;0 %;77.500;;
RJ1661;Cat Avian/avitex;Cat Aries GOLD Emulsion 202 4,5kl;1pcs;75.000;0 %;75.000;77.500;0 %;77.500;;
RJ1662;Cat Avian/avitex;Cat Aries GOLD Emulsion 203 4,5kl;1pcs;75.000;0 %;75.000;77.500;0 %;77.500;;
RJ1663;Cat Avian/avitex;Cat Aries GOLD Emulsion 303 4,5kl;1pcs;75.000;0 %;75.000;77.500;0 %;77.500;;
RJ1665;Cat Avian/avitex;Cat Aries GOLD Emulsion 305 4,5kl;1pcs;75.000;0 %;75.000;77.500;0 %;77.500;;
RJ1666;Cat Avian/avitex;Cat Aries GOLD Emulsion 307 4,5kl;1pcs;75.000;0 %;75.000;77.500;0 %;77.500;;
RJ1667;Cat Avian/avitex;Cat Aries GOLD Emulsion 403 4,5kl;1pcs;75.000;0 %;75.000;77.500;0 %;77.500;;
RJ1668;Cat Avian/avitex;Cat Aries GOLD Emulsion 404 4,5kl;1pcs;75.000;0 %;75.000;77.500;0 %;77.500;;
RJ1669;Cat Avian/avitex;Cat Aries GOLD Emulsion 405 4,5kl;1pcs;75.000;0 %;75.000;77.500;0 %;77.500;;
RJ1670;Cat Avian/avitex;Cat Aries GOLD Emulsion 501 4,5kl;1pcs;75.000;0 %;75.000;77.500;0 %;77.500;;
RJ1671;Cat Avian/avitex;Cat Aries GOLD Emulsion 502 4,5kl;1pcs;75.000;0 %;75.000;77.500;0 %;77.500;;
RJ1672;Cat Avian/avitex;Cat Aries GOLD Emulsion 503 4,5kl;1pcs;75.000;0 %;75.000;77.500;0 %;77.500;;
RJ1673;Cat Avian/avitex;Cat Aries GOLD Emulsion 504 4,5kl;1pcs;75.000;0 %;75.000;77.500;0 %;77.500;;
RJ1674;Cat Avian/avitex;Cat Aries GOLD Emulsion 506 4,5kl;1pcs;75.000;0 %;75.000;77.500;0 %;77.500;;
RJ1675;Cat Avian/avitex;Cat Aries GOLD Emulsion 602 4,5kl;1pcs;75.000;0 %;75.000;77.500;0 %;77.500;;
RJ1676;Cat Avian/avitex;Cat Aries GOLD Emulsion 603 4,5kl;1pcs;75.000;0 %;75.000;77.500;0 %;77.500;;
RJ1677;Cat Avian/avitex;Cat Aries GOLD Emulsion 604 4,5kl;1pcs;75.000;0 %;75.000;77.500;0 %;77.500;;
RJ1678;Cat Avian/avitex;Cat Aries GOLD Emulsion 702 4,5kl;1pcs;75.000;0 %;75.000;77.500;0 %;77.500;;
RJ1679;Cat Avian/avitex;Cat Aries GOLD Emulsion 703 4,5kl;1pcs;75.000;0 %;75.000;77.500;0 %;77.500;;
RJ1888;Cat Avian/avitex;Cat Avian 100cc;1pcs;12.033;0 %;12.033;13.000;0 %;13.000;;
RJ1887;Cat Avian/avitex;Cat Avian 200cc;1pcs;22.166;0 %;22.166;22.000;0 %;22.000;;
RJ1466;Cat Avian/avitex;Cat Tembok Aries  bling 707 4.5kl;PCS;65.000;0 %;65.000;67.500;0 %;67.500;;
RJ1470;Cat Avian/avitex;Cat Tembok Aries  bling 723 4.5kl;PCS;65.000;0 %;65.000;67.500;0 %;67.500;;
RJ1465;Cat Avian/avitex;Cat Tembok Aries bling  703 4.5kl;PCS;65.000;0 %;65.000;67.500;0 %;67.500;;
RJ1467;Cat Avian/avitex;Cat Tembok Aries bling 710 4.5kl;PCS;65.000;0 %;65.000;67.500;0 %;67.500;;
RJ1468;Cat Avian/avitex;Cat Tembok Aries bling 717 4.5kl;PCS;65.000;0 %;65.000;67.500;0 %;67.500;;
RJ1469;Cat Avian/avitex;Cat Tembok Aries bling 719 4.5kl;PCS;65.000;0 %;65.000;67.500;0 %;67.500;;
RJ1471;Cat Avian/avitex;Cat Tembok Aries bling Sw 4.5kl;PCS;65.000;0 %;65.000;67.500;0 %;67.500;;
RJ2016;Cat Avian/avitex;Epoxy Filler 200cc;1pcs;30.000;0 %;30.000;30.000;0 %;30.000;;
RJ1974;Cat Avian/avitex;"Kuas Avian 3"" 36 BJ PAINT BRUSH ";PCS;10.000;0 %;10.000;12.000;0 %;12.000;;
RJ1832;Cat Avian/avitex;"Kuas Green Brush 2"" ";1pcs;5.250;1000 %;5.250;6.000;0 %;6.000;;
RJ1833;Cat Avian/avitex;"Kuas Green Brush 3""";1pcs;8.135;1000 %;8.135;8.500;0 %;8.500;;
RJ1894;Cat Avian/avitex;No Droop Kolam Ikan 1kilo;1pcs;55.000;0 %;55.000;60.000;0 %;60.000;;
RJ1340;Cat Avian/avitex;No Drop 035/1kl;PCS;62.500;0 %;62.500;62.500;0 %;62.500;;
RJ1342;Cat Avian/avitex;No Drop 036/ 4kl;PCS;244.400;500 %;244.400;232.500;0 %;232.500;;
RJ1341;Cat Avian/avitex;No Drop 036/1kl ;PCS;62.500;0 %;62.500;62.500;0 %;62.500;;
RJ1975;Cat Avian/avitex;No Drop Hitam 1kl;PCS;62.500;0 %;62.500;62.500;0 %;62.500;;
RJ1822;Cat Avian/avitex;Sealent Botol Besar;PCS;30.000;0 %;30.000;30.000;0 %;30.000;;
RJ1816;Cat Avian/avitex;Serat Fiber Avian;;8.500;0 %;8.500;10.000;0 %;10.000;;
RJ1343;Cat Avian/avitex;Suzuka Spray 134/pilok;PCS;27.500;0 %;27.500;27.500;0 %;27.500;;
RJ1891;Cat Avian/avitex;Tape 10cmx5m No Drop Tambal Seng;PCS;85.000;0 %;85.000;22.500;0 %;22.500;;
RJ1890;Cat Avian/avitex;Tape 5cmx10m No Drop Tambal Seng;PCS;80.000;0 %;80.000;12.000;0 %;12.000;;
RJ1339;Cat Avian/avitex;Thiner Admiral Serba Guna;PCS;45.000;0 %;45.000;45.000;0 %;45.000;;
RJ1981;Cat Avian/avitex;Vip Paint Remover1kg;1pcs;75.000;0 %;75.000;75.000;0 %;75.000;;
RJ1980;Cat Avian/avitex;Vip Paint Remover250cc;1pcs;30.000;0 %;30.000;30.000;0 %;30.000;;
RJ1895;Cat Avian/avitex;Zuzuka Pilok;1pcs;27.500;0 %;27.500;27.500;0 %;27.500;;
RJ2081;Cat Pilok;Pilok 300cc;Kaleng;22.500;0 %;22.500;22.500;0 %;22.500;;
RJ1386;Corong Talang Hitam;"Corong Talang Hitam 2""";PCS;2.500;0 %;2.500;4.000;0 %;4.000;;
RJ1387;Corong Talang Hitam;Corong Talang Hitam 21/2;PCS;2.750;0 %;2.750;5.000;0 %;5.000;;
RJ1388;Corong Talang Hitam;"Corong Talang Hitam 3""";PCS;3.500;0 %;3.500;5.000;0 %;5.000;;
RJ1973;DCOTA;Dcota Kran Angsa DABS Flexi 1/2;1pcs;132.000;2500 %;132.000;120.000;0 %;120.000;;
RJ1971;DCOTA;DCota Kran D Res Bl 3/4PVC;1pcs;16.000;2000 %;16.000;15.000;0 %;15.000;;
RJ1972;DCOTA;Dcota Kran DABS 101 T Way Pvc;1pcs;22.750;2500 %;22.750;17.500;0 %;17.500;;
RJ1982;DCOTA;Filter Tusen/saringan 3/4;1pcs;9.235;1000 %;9.235;10.000;0 %;10.000;;
RJ1043;Diamond Whell Bosh;"Batu Gosok Dior 8""";PCS;9.000;0 %;9.000;10.000;0 %;10.000;;
RJ1042;Diamond Whell Bosh;Bosch Basah;PCS;45.000;0 %;45.000;50.000;0 %;50.000;;
RJ1815;Difuser ;Diffuser GN-130 Panasonic;1pcs;75.000;0 %;75.000;90.000;0 %;90.000;;
RJ331;Difuser ;Difuser Jet Pump 255 Sanei/jp;Pcs;25.000;0 %;25.000;35.000;0 %;35.000;;
RJ330;Difuser ;Difuser Semi Jet 100 Orisinil;Pcs;60.000;0 %;60.000;65.000;0 %;65.000;;
RJ332;Difuser ;Difuser Semi Jet 100 Smz JP PVC;Pcs;25.000;0 %;25.000;30.000;0 %;30.000;;
RJ333;Difuser ;Difuser Semi Jet DAB ;Pcs;25.000;0 %;25.000;30.000;0 %;30.000;;
RJ1968;Fan Panasonicv;Fan Panasonic F-EQ405/KIPAS ANGIN;PCS;650.000;0 %;650.000;650.000;0 %;650.000;;
RJ1612;Filter Kran +klem;Busa Arang;1pcs;20.000;0 %;20.000;30.000;0 %;30.000;;
RJ1611;Filter Kran +klem;Busa Filter;1pcs;10.000;0 %;10.000;15.000;0 %;15.000;;
RJ1121;Filter Kran +klem;Filter Kran Klem;PCS;7.500;0 %;7.500;10.000;0 %;10.000;;
RJ1122;Filter Kran +klem;Filter Kran Tanpa Klem;PCS;8.000;0 %;8.000;10.000;0 %;10.000;;
RJ1610;Filter Kran +klem;Gelas Filter Fiber;1pcs;80.000;0 %;80.000;90.000;0 %;90.000;;
RJ760;Fiser;Fiser S6 + Baud;PCS;13.000;0 %;13.000;15.000;0 %;15.000;;
RJ761;Fiser;Fiser S8+baud ;PCS;14.000;0 %;14.000;15.000;0 %;15.000;;
RJ588;Fitting GREST;Fitting Grest Dop 21/2;PCS;4.000;0 %;4.000;5.000;0 %;5.000;;
RJ589;Fitting GREST;Fitting Grest Dop 3;PCS;4.500;0 %;4.500;6.000;0 %;6.000;;
RJ590;Fitting GREST;Fitting Grest Dop 4;PCS;5.500;0 %;5.500;8.000;0 %;8.000;;
RJ1088;Fitting GREST;Fitting Grest Dop 6;PCS;37.659;3500 %;37.659;30.000;0 %;30.000;;
RJ593;Fitting GREST;Fitting Grest F Sok 4x3;PCS;7.000;0 %;7.000;10.000;0 %;10.000;;
RJ595;Fitting GREST;Fitting Grest Kdd 3/4;PCS;2.500;0 %;2.500;3.000;0 %;3.000;;
RJ553;Fitting GREST;Fitting Grest Knee 1;PCS;2.250;0 %;2.250;2.500;0 %;2.500;;
RJ551;Fitting GREST;Fitting grest Knee 1/2;PCS;1.500;0 %;1.500;2.000;0 %;2.000;;
RJ555;Fitting GREST;Fitting Grest Knee 11/2 D;PCS;3.000;0 %;3.000;3.500;0 %;3.500;;
RJ554;Fitting GREST;Fitting Grest Knee 11/4 D;PCS;2.500;0 %;2.500;3.000;0 %;3.000;;
RJ556;Fitting GREST;Fitting Grest Knee 2 D;PCS;4.000;0 %;4.000;5.000;0 %;5.000;;
RJ557;Fitting GREST;Fitting Grest Knee 21/2 D;PCS;6.000;0 %;6.000;7.500;0 %;7.500;;
